URL,Violations,Status of issue,Comment
https://www.letstalk.wellington.govt.nz/,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/accessibility,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/accessibility,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/terms-use,"duplicate-id, heading-order, listitem, region",Violation,
https://www.letstalk.wellington.govt.nz/terms-use,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/privacy-policy,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/privacy-policy,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/moderation,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/moderation,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/search,"duplicate-id, region",Violation,
https://www.letstalk.wellington.govt.nz/search,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/projects,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/projects,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/draftbudget,"duplicate-id, heading-order, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/draftbudget,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/waitohi-community-hub,"duplicate-id, link-name, region",Violation,
https://www.letstalk.wellington.govt.nz/waitohi-community-hub,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/transport,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/transport,color-contrast,Needs Review,
https://www.letstalk.wellington.govt.nz/annualplan,"aria-command-name, aria-required-parent, duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/annualplan,"aria-allowed-attr, aria-valid-attr-value, color-contrast, form-field-multiple-labels",Needs Review,
https://www.letstalk.wellington.govt.nz/arts-and-culture,"duplicate-id, heading-order, region",Violation,
https://www.letstalk.wellington.govt.nz/arts-and-culture,color-contrast,Needs Review,
